customer_id,age,gender,city_tier,employment_type,loan_amount_requested,credit_score,stage_applied,stage_docs_submitted,stage_credit_checked,stage_approved,stage_disbursed
1,50,Male,Tier 2,Business,278861,586,1,1,0,0,0
2,36,Female,Tier 2,Business,592039,588,0,0,0,0,0
3,29,Male,Tier 2,Salaried,1996169,658,1,1,0,0,0
4,42,Male,Tier 2,Self-Employed,251818,613,1,0,0,0,0
5,40,Female,Tier 3,Salaried,1393110,724,1,1,1,0,0
6,44,Male,Tier 2,Salaried,413357,828,1,1,0,0,0
7,32,Male,Tier 2,Self-Employed,158712,581,1,1,0,0,0
8,32,Female,Tier 1,Salaried,1593501,758,1,1,1,1,0
9,45,Female,Tier 1,Business,110403,568,0,0,0,0,0
10,57,Male,Tier 1,Salaried,863291,655,0,0,0,0,0
11,45,Male,Tier 2,Business,1572251,755,0,0,0,0,0
12,24,Male,Tier 1,Salaried,673412,796,1,1,1,1,1
13,43,Male,Tier 1,Self-Employed,700228,716,0,0,0,0,0
14,23,Male,Tier 3,Self-Employed,863532,638,1,1,1,1,1
15,45,Female,Tier 1,Business,1581414,560,0,0,0,0,0
16,51,Female,Tier 1,Salaried,1816220,598,1,1,1,0,0
17,59,Male,Tier 1,Business,503192,610,1,1,1,0,0
18,23,Male,Tier 3,Salaried,1007527,720,1,1,0,0,0
19,42,Male,Tier 1,Salaried,490925,692,1,0,0,0,0
20,54,Male,Tier 2,Salaried,1482512,756,1,1,1,0,0
21,33,Female,Tier 2,Self-Employed,1852043,750,1,1,1,1,1
22,43,Male,Tier 2,Salaried,1568345,554,1,0,0,0,0
23,46,Male,Tier 2,Self-Employed,1415244,760,1,1,1,1,1
24,48,Female,Tier 3,Self-Employed,1725621,578,1,1,1,0,0
25,49,Male,Tier 1,Salaried,659337,739,1,1,1,1,1
26,37,Female,Tier 1,Business,619262,737,1,1,0,0,0
27,36,Male,Tier 1,Salaried,227550,804,1,1,0,0,0
28,24,Female,Tier 1,Business,890200,699,0,0,0,0,0
29,58,Female,Tier 1,Salaried,1834332,562,1,1,0,0,0
30,28,Female,Tier 1,Salaried,1565414,706,1,1,0,0,0
31,42,Female,Tier 2,Salaried,1933552,629,1,1,0,0,0
32,30,Male,Tier 2,Salaried,548909,822,0,0,0,0,0
33,39,Male,Tier 1,Salaried,725144,697,1,1,1,0,0
34,25,Female,Tier 2,Salaried,1095875,755,1,1,1,0,0
35,46,Female,Tier 1,Salaried,1634638,663,1,1,1,1,0
36,35,Male,Tier 1,Salaried,1788904,555,1,1,1,0,0
37,30,Male,Tier 2,Salaried,1025740,827,0,0,0,0,0
38,47,Male,Tier 1,Self-Employed,127678,781,1,1,1,1,1
39,23,Male,Tier 1,Salaried,1410855,686,1,1,0,0,0
40,41,Male,Tier 2,Business,1123734,709,1,1,1,1,1
41,49,Female,Tier 3,Self-Employed,121587,838,1,0,0,0,0
42,28,Male,Tier 2,Self-Employed,971619,754,1,1,1,1,1
43,29,Male,Tier 1,Self-Employed,1052064,707,1,1,1,0,0
44,56,Female,Tier 3,Salaried,109317,655,1,1,1,1,1
45,35,Female,Tier 2,Self-Employed,1629235,631,1,1,1,1,1
46,38,Female,Tier 2,Salaried,1085609,819,1,1,1,1,0
47,57,Female,Tier 3,Business,930658,598,1,1,0,0,0
